steam_id,name,owners,positive,negative
2059530,Dawn of Defiance,"50,000 .. 100,000",1102,317
2734450,Folie Fatale,"50,000 .. 100,000",1716,199
365050,Escape,"50,000 .. 100,000",178,110
2705100,breakfive,"50,000 .. 100,000",5,4
1116580,Shady Part of Me,"50,000 .. 100,000",2549,147
860960,N1L (No1Lives),"50,000 .. 100,000",9,9
3290830,Faith Of Life _ Survive Edition,"50,000 .. 100,000",3,1
791950,Hiking Simulator 2018,"50,000 .. 100,000",8,20
1419850,Saleblazers,"50,000 .. 100,000",1341,187
1487320,Astro Sentai Jarbonder,"50,000 .. 100,000",28,8
2451470,The Order of the Snake Scale,"50,000 .. 100,000",23,1
1405790,John Wick Hex,"50,000 .. 100,000",453,267
227380,Dragon's Lair,"50,000 .. 100,000",509,151
1068640,Village Feud,"50,000 .. 100,000",266,102
1376790,Pyramid Runner,"50,000 .. 100,000",16,0
695600,This Grand Life,"50,000 .. 100,000",178,57
1037930,Era of Miracles,"50,000 .. 100,000",11,5
391740,Blaster Shooter GunGuy!,"50,000 .. 100,000",178,229
676770,Island Dash,"50,000 .. 100,000",420,76
618620,Naval Armada: Fleet Battle,"50,000 .. 100,000",98,77
1828010,Deadly Nightmare,"50,000 .. 100,000",2,4
235980,Tetrobot and Co.,"50,000 .. 100,000",485,17
3134130,The Curse of the Demon Tree,"50,000 .. 100,000",1,0
1717250,Ratten Reich,"50,000 .. 100,000",309,220
1111370,A Summer's End - Hong Kong 1986,"50,000 .. 100,000",1891,74
1725950,魔塔地牢,"50,000 .. 100,000",130,64
1021770,Wanba Warriors,"50,000 .. 100,000",2375,280
2285630,Survivors of the Dawn,"50,000 .. 100,000",514,153
204220,Snapshot,"50,000 .. 100,000",185,68
1958600,Barro F22,"50,000 .. 100,000",320,50
565030,Blueshift,"50,000 .. 100,000",166,43
388050,Snik,"50,000 .. 100,000",62,53
1382200,Liquidators,"50,000 .. 100,000",1072,46
313780,Conarium,"50,000 .. 100,000",1661,490
1573750,100 hidden mushrooms,"50,000 .. 100,000",393,39
606730,Sine Mora EX,"50,000 .. 100,000",415,219
345820,Shantae and the Pirate's Curse,"50,000 .. 100,000",2653,200
1320950,The Swine,"50,000 .. 100,000",246,54
517130,Soundboxing,"50,000 .. 100,000",494,69
419460,"That Dragon, Cancer","50,000 .. 100,000",1329,149
1725440,House of Rules,"50,000 .. 100,000",136,13
408740,Pro Gamer Manager,"50,000 .. 100,000",339,347
2688890,UFO: Henfield,"50,000 .. 100,000",1,0
762670,Astro Joust,"50,000 .. 100,000",5,5
