name,itad_id,is_free,has_discount,discount_pct,current_price,regular_price,best_shop,history_low_all,history_low_y1,history_low_m3
Dawn of Defiance,018f5873-9240-7122-8fe4-3a8e922b70fe,False,False,0.0,19.99,19.99,Steam,9.99,12.99,12.99
Folie Fatale,018d937f-7b56-7380-8f96-f812ecec51c4,,,,,,,,,
Escape,018d937f-1c86-7166-9639-88c9bfa7d3d6,True,,,0.0,0.0,Steam,1.59,,
breakfive,018d937f-79b6-7283-b828-628832b5f90a,,,,,,,,,
Shady Part of Me,018d937f-30ad-7037-b306-ab782c51a1da,False,True,85.0,2.24,14.99,Epic Game Store,2.2,2.2,2.2
N1L (No1Lives),018d937f-6a1f-701c-8378-e3447627433c,True,,,0.0,0.0,Steam,,,
Faith Of Life _ Survive Edition,0192a9b1-5cf1-7067-b0d4-0a3a349c951c,False,False,0.0,4.99,4.99,Steam,0.69,0.69,0.69
Hiking Simulator 2018,018d937f-2a05-73f6-a88a-41391e348e27,False,True,61.0,0.77,1.99,Steam,0.49,0.77,0.77
Saleblazers,018d937f-6f08-704a-b5c0-58505e4b8871,False,True,55.0,13.49,29.99,Steam,13.49,13.49,13.49
Astro Sentai Jarbonder,018d937f-49f4-704e-8700-243935fcfb50,True,,,0.0,0.0,Steam,,,
The Order of the Snake Scale,018d937f-7513-7235-8db4-e6b96738093b,False,True,50.0,4.49,8.99,Steam,4.49,4.49,4.49
John Wick Hex,018d937f-2cfb-7366-8dfc-7948a809abd2,,,,,,,,,
Dragon's Lair,018d937f-1f46-7086-bcd3-cd18fadad41b,False,False,0.0,9.99,9.99,Steam,2.49,4.99,4.99
Village Feud,018d937f-24ea-71e1-bc7c-d6867c172d48,False,False,0.0,3.99,3.99,Steam,3.99,3.99,3.99
Pyramid Runner,018f9a2a-5431-7144-a026-cefa5791467b,False,False,0.0,8.99,8.99,Steam,2.39,2.96,4.49
This Grand Life,018d937f-087c-7209-b8b8-d9f88afef690,False,True,21.0,9.49,11.99,Fanatical,5.39,5.99,5.99
Era of Miracles,018d937f-3868-7146-adc4-667497bf1618,False,True,95.0,1.49,29.99,Steam,0.28,1.49,1.49
Blaster Shooter GunGuy!,018d937f-154d-7270-9570-dffb289fa619,False,False,0.0,1.99,1.99,IndieGala Store,0.29,0.99,1.99
Island Dash,018d937f-121c-7208-b338-f57b2150f48d,True,,,0.0,0.0,Steam,,,
Naval Armada: Fleet Battle,018d937f-4d42-713f-9154-4239c250c200,True,,,0.0,0.0,Steam,,,
Deadly Nightmare,018d937f-5cdf-71ac-b6cb-f7cc82633649,False,False,0.0,4.99,4.99,Steam,1.49,1.49,1.49
Tetrobot and Co.,018d937f-26dd-728e-ae8f-d185ed6fa913,False,False,0.0,9.99,9.99,Humble Store,1.99,1.99,3.99
The Curse of the Demon Tree,01913951-7897-7220-9ccc-ee8709a61c61,False,False,0.0,0.99,0.99,Steam,0.79,0.99,0.99
Ratten Reich,018d937f-63ad-739f-ba8f-8fecf946ea37,False,True,60.0,7.99,19.99,Humble Store,7.99,7.99,7.99
A Summer's End - Hong Kong 1986,018d937f-3fc4-7278-8c13-3ecf50376b18,False,False,0.0,14.99,14.99,Steam,10.04,10.04,10.49
魔塔地牢,018d937f-55e5-7237-b350-74a165d6bb9a,False,False,0.0,2.99,2.99,Steam,1.07,1.07,1.07
Wanba Warriors,018d937f-0e8d-7115-aaf8-578876bc1c80,False,True,70.0,1.49,4.99,Fanatical,1.19,1.49,1.49
Survivors of the Dawn,018d937f-6f16-70b2-a569-49175e626e3c,False,False,0.0,7.99,7.99,Humble Store,3.19,3.99,3.99
Snapshot,018d937e-ffca-703f-b64e-fd0c9a234621,False,False,0.0,9.99,9.99,GOG,2.49,2.99,9.99
Barro F22,018d937f-5f56-7076-ae11-f913b825371d,False,True,90.0,0.49,4.99,Steam,0.39,0.49,0.49
Blueshift,018d937f-2d7b-7286-8222-8b6baa267ea4,True,,,0.0,0.0,Steam,,,
Snik,018d937e-f9ed-72ef-8dda-ad93d42ac95a,False,False,0.0,2.99,2.99,Fanatical,0.49,2.99,2.99
Liquidators,018d937f-4685-73d4-bd3f-0d4840150a54,True,,,0.0,0.0,Steam,,,
Conarium,018d937f-00a6-738a-80d6-07c4f37c29e5,False,True,82.0,3.59,19.99,Fanatical,0.99,3.3,3.59
100 hidden mushrooms,018d937f-4ce0-709b-9dd7-ef9f14e8eb76,False,False,0.0,0.99,0.99,Steam,0.29,0.59,0.59
Sine Mora EX,018d937f-1309-73ac-8328-4b3a7644a06a,False,True,82.0,1.8,9.99,Newegg,0.99,0.99,1.34
