steam_id,total_reviews,total_positive,total_negative,positive_ratio,review_score_desc
2059530,1791,1395,396,0.779,Mostly Positive
2734450,2528,2183,345,0.864,Very Positive
365050,290,181,109,0.624,Mixed
2705100,9,5,4,0.556,9 user reviews
1116580,3262,3076,186,0.943,Very Positive
860960,19,11,8,0.579,Mixed
3290830,4,3,1,0.75,4 user reviews
791950,30,8,22,0.267,Mostly Negative
1419850,1905,1681,224,0.882,Very Positive
1487320,40,32,8,0.8,Positive
2451470,34,28,6,0.824,Positive
1405790,765,483,282,0.631,Mixed
227380,705,539,166,0.765,Mostly Positive
1068640,394,282,112,0.716,Mostly Positive
1376790,25,25,0,1.0,Positive
695600,239,180,59,0.753,Mostly Positive
1037930,116,87,29,0.75,Mostly Positive
391740,409,180,229,0.44,Mixed
676770,499,421,78,0.844,Very Positive
618620,187,105,82,0.561,Mixed
1828010,7,2,5,0.286,7 user reviews
235980,513,495,18,0.965,Overwhelmingly Positive
3134130,1,1,0,1.0,1 user reviews
1717250,671,287,384,0.428,Mixed
1111370,2170,2084,86,0.96,Overwhelmingly Positive
1725950,216,147,69,0.681,Mixed
1021770,2716,2415,301,0.889,Very Positive
2285630,748,562,186,0.751,Mostly Positive
204220,261,191,70,0.732,Mostly Positive
1958600,623,532,91,0.854,Very Positive
565030,211,168,43,0.796,Mostly Positive
388050,119,66,53,0.555,Mixed
1382200,1197,1142,55,0.954,Overwhelmingly Positive
313780,2252,1733,519,0.77,Mostly Positive
1573750,476,435,41,0.914,Very Positive
606730,680,438,242,0.644,Mixed
345820,3026,2810,216,0.929,Very Positive
1320950,310,255,55,0.823,Very Positive
517130,561,493,68,0.879,Very Positive
419460,1533,1384,149,0.903,Very Positive
1725440,170,154,16,0.906,Very Positive
408740,681,335,346,0.492,Mixed
2688890,1,1,0,1.0,1 user reviews
762670,12,6,6,0.5,Mixed
1153130,761,712,49,0.936,Very Positive
844960,360,272,88,0.756,Mostly Positive
1471040,478,178,300,0.372,Mostly Negative
1692240,581,535,46,0.921,Very Positive
731620,1498,844,654,0.563,Mixed
2140170,13,10,3,0.769,Mostly Positive
260250,619,365,254,0.59,Mixed
1078760,1787,1192,595,0.667,Mixed
1438440,978,913,65,0.934,Very Positive
351250,246,210,36,0.854,Very Positive
1515930,2,0,2,0.0,2 user reviews
2093680,3,2,1,0.667,3 user reviews
1469160,285,179,106,0.628,Mixed
497050,180,94,86,0.522,Mixed
1286220,5705,5158,547,0.904,Very Positive
57400,2144,2107,37,0.983,Overwhelmingly Positive
513320,355,132,223,0.372,Mostly Negative
1841220,2,2,0,1.0,2 user reviews
1269550,310,263,47,0.848,Very Positive
33770,405,329,76,0.812,Very Positive
785890,1342,1290,52,0.961,Overwhelmingly Positive
485690,539,395,144,0.733,Mostly Positive
268810,375,288,87,0.768,Mostly Positive
2063050,66,49,17,0.742,Mostly Positive
1250940,12,8,4,0.667,Mixed
452710,267,199,68,0.745,Mostly Positive
582810,459,298,161,0.649,Mixed
904360,618,445,173,0.72,Mostly Positive
1273260,1438,1301,137,0.905,Very Positive
609110,1938,1696,242,0.875,Very Positive
1559680,756,586,170,0.775,Mostly Positive
2634890,2417,2281,136,0.944,Very Positive
480480,256,219,37,0.855,Very Positive
1352330,1643,1282,361,0.78,Mostly Positive
1659090,91,60,31,0.659,Mixed
345860,604,509,95,0.843,Very Positive
444160,166,91,75,0.548,Mixed
1839940,1521,866,655,0.569,Mixed
1011300,440,264,176,0.6,Mixed
369110,633,407,226,0.643,Mixed
441830,1695,1220,475,0.72,Mostly Positive
1056350,61,59,2,0.967,Very Positive
809540,537,449,88,0.836,Very Positive
466840,321,175,146,0.545,Mixed
384150,1034,721,313,0.697,Mixed
915670,630,295,335,0.468,Mixed
1694420,2982,2835,147,0.951,Overwhelmingly Positive
365580,169,153,16,0.905,Very Positive
1276850,11,8,3,0.727,Mostly Positive
984800,912,654,258,0.717,Mostly Positive
307050,2272,1635,637,0.72,Mostly Positive
42850,389,329,60,0.846,Very Positive
1444170,23,18,5,0.783,Mostly Positive
1493760,2258,1641,617,0.727,Mostly Positive
1687280,4,1,3,0.25,4 user reviews
370710,126,86,40,0.683,Mixed
1456230,148,106,42,0.716,Mostly Positive
3600,337,246,91,0.73,Mostly Positive
355070,227,109,118,0.48,Mixed
1453600,278,256,22,0.921,Very Positive
474910,244,138,106,0.566,Mixed
