name,hltb_id,hltb_main,hltb_extra,hltb_complete,similarity,game_name_found,release_year,platform,error
Dawn of Defiance,,0.0,,0.0,1.0,Dawn of Defiance,,,
Folie Fatale,,0.0,,0.0,1.0,Folie Fatale,,,
Escape,,0.0,,0.0,1.0,Escape,,,
breakfive,,,,,0.0,,,,
Shady Part of Me,,5.14,,6.69,1.0,Shady Part of Me,,,
N1L (No1Lives),,,,,0.0,,,,
Faith Of Life _ Survive Edition,,,,,0.0,,,,
Hiking Simulator 2018,,0.0,,0.0,1.0,Hiking Simulator 2018,,,
Saleblazers,,76.62,,0.0,1.0,Saleblazers,,,
Astro Sentai Jarbonder,,,,,0.0,,,,
The Order of the Snake Scale,,,,,0.0,,,,
John Wick Hex,,7.55,,18.98,1.0,John Wick Hex,,,
Dragon's Lair,,,,,0.0,,,,"('Connection aborted.', ConnectionResetError(10054, 'Удаленный хост принудительно разорвал существующее подключение', None, 10054, None))"
Village Feud,,,,,0.0,,,,
Pyramid Runner,,4.05,,0.0,1.0,Pyramid Runner,,,
This Grand Life,,1.0,,12.87,1.0,This Grand Life,,,
Era of Miracles,,0.0,,0.0,1.0,Era of Miracles,,,
Blaster Shooter GunGuy!,,,,,0.0,,,,
Island Dash,,0.08,,0.16,1.0,Island Dash,,,
Naval Armada: Fleet Battle,,,,,0.0,,,,
Deadly Nightmare,,,,,0.0,,,,
Tetrobot and Co.,,9.0,,15.75,1.0,Tetrobot and Co.,,,
The Curse of the Demon Tree,,,,,0.0,,,,
Ratten Reich,,0.0,,0.0,1.0,Ratten Reich,,,
A Summer's End - Hong Kong 1986,,5.39,,7.31,1.0,A Summer's End - Hong Kong 1986,,,
魔塔地牢,,,,,0.0,,,,
Wanba Warriors,,2.35,,0.0,1.0,Wanba Warriors,,,
Survivors of the Dawn,,0.0,,16.95,0.9047619047619048,Survivors Of The Dawn,,,
Snapshot,,4.5,,20.24,1.0,Snapshot,,,
Barro F22,,0.0,,1.64,1.0,Barro F22,,,
Blueshift,,0.0,,0.0,1.0,Blueshift,,,
Snik,,0.0,,9.83,1.0,Snik,,,
Liquidators,,0.91,,0.0,1.0,Liquidators,,,
Conarium,,4.07,,5.58,1.0,Conarium,,,
100 hidden mushrooms,,0.12,,0.15,0.9,100 Hidden Mushrooms,,,
Sine Mora EX,,2.61,,15.41,1.0,Sine Mora EX,,,
Shantae and the Pirate's Curse,,8.11,,10.47,1.0,Shantae and the Pirate's Curse,,,
The Swine,,0.71,,0.77,1.0,The Swine,,,
Soundboxing,,0.0,,0.0,1.0,Soundboxing,,,
"That Dragon, Cancer",,1.85,,2.05,1.0,"That Dragon, Cancer",,,
House of Rules,,0.0,,0.0,1.0,House of Rules,,,
Pro Gamer Manager,,0.0,,0.0,1.0,Pro Gamer Manager,,,
UFO: Henfield,,,,,0.0,,,,
Astro Joust,,,,,0.0,,,,
Wurroom,,0.24,,0.26,1.0,Wurroom,,,
Pro 11 - Football Manager Game,,,,,0.0,,,,
Base One,,6.73,,0.0,1.0,Base One,,,
Fortune's Run,,0.0,,0.0,1.0,Fortune's Run,,,
Hide Or Die,,0.0,,0.0,1.0,Hide Or Die,,,
Sinned,,,,,0.0,,,,
Blood of the Werewolf,,4.76,,0.0,1.0,Blood of the Werewolf,,,
Motorcycle Mechanic Simulator 2021,,20.0,,26.42,1.0,Motorcycle Mechanic Simulator 2021,,,
Aurora: A Child's Journey,,0.26,,0.28,1.0,Aurora: A Child's Journey,,,
Avalanche 2: Super Avalanche,,4.62,,11.0,1.0,Avalanche 2: Super Avalanche,,,
Wild Workshop,,,,,0.0,,,,
Celadon,,,,,0.0,,,,
Wartune Reborn,,0.0,,0.0,1.0,Wartune Reborn,,,
Shape Shifter,,0.0,,0.0,1.0,Shape Shifter,,,
Sea Power : Naval Combat in the Missile Age,,,,,0.0,,,,
Batman: Arkham City,,12.44,,45.88,1.0,Batman: Arkham City,,,
ALICE VR,,2.85,,0.0,0.5,Alice VR,,,
The Devils - A Visual Novel Of WWII,,,,,0.0,,,,
KillSteel,,,,,0.0,,,,
Drakensang: The River of Time,,27.42,,53.08,1.0,Drakensang: The River of Time,,,
Hexologic,,2.18,,4.9,1.0,Hexologic,,,
Hope Lake,,2.83,,3.89,1.0,Hope Lake,,,
Paranormal State: Poison Spring,,3.99,,6.39,1.0,Paranormal State: Poison Spring,,,
TVs: The Awakening,,0.9,,0.0,1.0,TVs: The Awakening,,,
Demon Blast,,,,,0.0,,,,
Realities,,0.0,,0.0,1.0,Realities,,,
Awesome Metal Detecting,,0.0,,0.0,1.0,Awesome Metal Detecting,,,
Family Man,,4.0,,7.83,1.0,Family Man,,,
Corpse Party (2021),,,,,0.0,,,,
Blazing Chrome,,2.42,,9.06,1.0,Blazing Chrome,,,
Amazing Frog? 2,,,,,0.0,,,,
MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,,6.25,,14.84,0.8148148148148148,Marvel vs. Capcom Fighting Collection: Arcade Classics,,,
Slash or Die,,0.0,,5.0,1.0,Slash or Die,,,
Zoo 2: Animal Park,,0.0,,0.0,1.0,Zoo 2: Animal Park,,,
REMEDIUM,,8.0,,13.18,0.5925925925925926,REMEDIUM: Sentinels,,,
Super Galaxy Squadron EX Turbo,,1.19,,4.1,1.0,Super Galaxy Squadron EX Turbo,,,
Bonsai,,0.0,,46.3,1.0,Bonsai,,,
Dakar Desert Rally,,19.33,,0.0,1.0,Dakar Desert Rally,,,
UNI,,,,,0.0,,,,
The Swindle,,10.1,,51.72,1.0,The Swindle,,,
I am Setsuna,,20.35,,44.57,0.9166666666666666,I Am Setsuna,,,
Wizard Warfare,,0.0,,0.0,1.0,Wizard Warfare,,,
Mechs V Kaijus - Tower Defense,,,,,0.0,,,,
Super Space Pug,,1.43,,1.83,1.0,Super Space Pug,,,
TeraBlaster,,0.0,,0.0,1.0,TeraBlaster,,,
Everreach: Project Eden,,4.24,,6.35,1.0,Everreach: Project Eden,,,
Card Survival: Tropical Island,,60.0,,0.0,1.0,Card Survival: Tropical Island,,,
Beeswing,,1.35,,2.0,1.0,Beeswing,,,
Kane's Shadow,,,,,0.0,,,,
Automachef,,24.99,,44.56,1.0,Automachef,,,
Shan Gui (山桂),,,,,0.0,,,,
Arsenal of Democracy: A Hearts of Iron Game,,,,,0.0,,,,
DOGMAN,,,,,0.0,,,,
Youtubers Life 2,,23.79,,49.23,1.0,Youtubers Life 2,,,
Starfighter Aces,,,,,0.0,,,,
Last Heroes,,4.5,,6.27,1.0,Last Heroes,,,
Cthulhu: Death Escape / 克苏鲁:死亡逃脱 Prototype,,,,,0.0,,,,
Escape Rosecliff Island,,8.44,,11.37,1.0,Escape Rosecliff Island,,,
TDP5 Arena 3D,,0.0,,0.0,0.9629629629629629,TDP5: Arena 3D,,,
Night Reverie: Prologue,,0.0,,1.14,1.0,Night Reverie: Prologue,,,
The Mahjong Huntress,,9.11,,14.96,1.0,The Mahjong Huntress,,,
Evil Bank Manager,,6.87,,0.0,1.0,Evil Bank Manager,,,
Fear the Night - 恐惧之夜,,,,,0.0,,,,
Happy Bones,,4.2,,0.0,1.0,Happy Bones,,,
Night Gate,,3.43,,0.0,0.8421052631578947,Nightgate,,,
Breakpoint,,,,,0.0,,,,"('Connection aborted.', ConnectionResetError(10054, 'Удаленный хост принудительно разорвал существующее подключение', None, 10054, None))"
DRONE The Game,,0.53,,0.0,0.9655172413793104,DRONE: The Game,,,
Cool People Club,,,,,0.0,,,,
Killer Klownz,,0.0,,0.0,1.0,Killer Klownz,,,
CatTuber,,,,,0.0,,,,
Dominions 4: Thrones of Ascension,,0.0,,0.0,1.0,Dominions 4: Thrones of Ascension,,,
Return the Backrooms,,,,,0.0,,,,
